,topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR,label
0,asianhate_04,ChinaVirus,1254162507020763137,./tweet_data/asianhate_04/ChinaVirus/tweets4/EWeuJgbXkAAz1OD.jpg,./annot_100_hate/EWeuJgbXkAAz1OD.jpg,"@Reuters How long can we stay at home? This is not permanent solution.
#VirusGuard is the only solution to cope with #COVID19❗

https://t.co/XwEak900vC

#wuhanvirus #chinavirus #coronavirus #chinaoutbreak #wuhanoutbreak #Mers #Covid_19 https://t.co/80KoQdV5Gh","BSTO
OVirus - Guard
Sustainable Disinfection
For 10 days disinfection and
protection against covid19
DISINFECTS &
PROTECTS UPTO
10 DAYS
ww.virguard.com
O Virus - Guard
• Long-Term Disinfecting Wipes
100% TRUSTED PROTECTION
ONE
pinily bulalla Jolie
Fore onty
ALL
ALL
ALL
IN
IN
IN
ONE
ONE
ONE
ulestiee
he
Batria Punci k Vunes
Aicohal free Disirfection
MEDICALLY TESTED",sy virus guard sustainable disinfection 10 day disinfection protection wwi ae aera ny pe,0
1,vaccine_04,BillGatesBioTerrorist,1248344434120560642,./tweet_data/vaccine_04/BillGatesBioTerrorist/tweets2/EVMCpJxXQAEsSLi.jpg,./annot_100_hate/EVMCpJxXQAEsSLi.jpg,"So. Many. SHEEPLE! WAKE UUUPP!
#BillGatesBioTerrorist 
#BillGatesIsEvil 
#BillGatesPublicEnemy1 
#BillGatesIsNotOurFriend 
#BillGatesVaccine
#BillGatesVirus https://t.co/rFkHJGQvOV","OSRE
ALRIGHT",ie alright,0
2,politics_08,TrumpIsALaughingStock,1294450197435645952,./tweet_data/politics_08/TrumpIsALaughingStock/tweets3/EfbPlPOWAAEj3NC.jpg,./annot_100_hate/EfbPlPOWAAEj3NC.jpg,@AintParler @Lorrain86857415 @TheWorldWatch @SpinneyJr @hsbanik @sacmac11 @KraigtheBunny @MercerCreed @_White__Rabbit @TheTruthFairy4 @FiestyKiwi @G2Precision @WarrenJPierce @KumbarRajesh @sk8djglfrfoos @Acknowledgerea3 @JayCory7 @ADevotedYogi @Heather012177 @CrystalLozano4 @LisaSing75 @COCrowe @PhillipDenton @EricO_2020 @Janesmi74403686 @suprdupe @bkmoore777 @Jah18186004 @TideFanJoe @JackieO69045443 @TheTrollHunte14 @SockRocket2019 @stevendem @sham786364 @natehansen42 @mannazesq @Gummbyman32 @forcemultipler @HerpesMichael @nzhippygirl @SGijora @AdHomin1711 @ShaktiForTrump @WhoFeedsYou @JDavidBourne1 @rygh_sherrie @iflysims70 @kruttika108 @LisaSwartz8 @thedjrichyb Thank you for your opinion of the impeachment regardless of your feelings he is still impeached. I'm sending big hugs your way.🤗🤗🤗🤗🤗🤗 #TrumpFailedAmerica #TrumpIsACriminal #TrumpIsALaughingStock #ProsecuteTrump #jailtime #PutinsPuppet #BIGHUGTOYOU https://t.co/Jo7ZZszJDJ,"WELL, BOOHOO. I'M SO SORRY YOUR
FEELINGS ARE HURT, PRINCESS.",oa boohoo sorry aaa wa del ah,0
3,politics_08,TrumpIsANationalDisgrace,1292919661206687748,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets2/EfFfVjwX0AUmmcQ.jpg,./annot_100_hate/EfFfVjwX0AUmmcQ.jpg,"Gallup poll: 4 out of 5 Republicans don't think America is great right now

165,935 Americans have died in vain

and Trump wants to give a Gettysburg speech? 

#BlameTrump 

#TrumpIsANationalDisgrace https://t.co/Qz0vUdFIhJ","Republican satisfaction with the state
of America has plummeted
Overall American satisfaction is the lowest it's been in almost a decade, Gallup reports
GREAT AGAIN
Most surveyed Republicans don't think that America is great lately. GETTY IMAGES",republican satisfaction state america plummet overall american satisfaction low decade gallup report bea rep getty images,0
4,politics_04,TrumpLiesPeopleDie,1248647765044776961,./tweet_data/politics_04/TrumpLiesPeopleDie/tweets2/EVQWgf-UcAA1Z3K.jpg,./annot_100_hate/EVQWgf-UcAA1Z3K.jpg,"@catjung @AmoneyResists Keep believing the bull$hit, all the data, #70days inaction and the most cases in the world shows you his response was bullshit. Americans are dying and will die, Trump supporters don’t give a damn. You are truly the mark of a con man. And not a good one. #TrumpLiesPeopleDie https://t.co/hren6p0YPL","WHEN YOU DON'T RECOGNIZE
A CON MAN WHEN YOU SEE HIM
Con
CONGRATULATIONS.YOU'RE THE MARK
imgfip.com",dont recognize pea ae es ta ws mt aor,1
5,politics_08,TrumpIsACompleteFailure,1291023422449999873,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets1/Eeqi9h9XkAIdTbA.jpg,./annot_100_hate/Eeqi9h9XkAIdTbA.jpg,@CNN @SpiroAgnewGhost Yeah. We knew he'd be terrible and dumb. That's why most Americans did not vote for him. #TrumpIsACompleteFailure https://t.co/kbAoy6eYhm,"THIS IS NOT NORMAL
DON'T EVEN PRETEND THIS IS NORMAL",normal na fy,0
6,politics_08,TrumpIsACompleteFailure,1295518304426172417,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets3/Efqa4GyWoAAP6R0.jpg,./annot_100_hate/Efqa4GyWoAAP6R0.jpg,@washingtonpost Thank god for @SpeakerPelosi -- somebody has to stop @realDonaldTrump from destroying America from the inside. #VoteBlue2020 #TrumpIsACompleteFailure https://t.co/pq7fn8l2Zd,"TRUMP WILL BURN AMERICA
TO THE GROUND
TO SAVE HIMSELF
OCIALSECURITY
VALID FOR EWORK ONLY
WITH DAS LAUTHORIZATION
000-00-000o
UNITED STATES
POSTAL SERVICE
SIGNATURE
USA
FAIL
* dogwalk media",trump burn america ground alae fail,1
7,politics_04,LiarInChief,1248075400095215617,./tweet_data/politics_04/LiarInChief/tweets2/EVIN9S5UcAAUagq.jpg,./annot_100_hate/EVIN9S5UcAAUagq.jpg,@GeorgeTakei @roecats_8 Yep the #LiarInChief has got to go! #TrumpOwnsEveryDeath #TrumpVirusCoverup https://t.co/UvfpF6iIOK,"It seems like the administration has
moved from in competence to inhumanity.",hi seam ul move fire ol compete co,0
8,ageism_12,covidiots,1335669851709460480,./tweet_data/ageism_12/covidiots/tweets1/EfBDZe2WsAALsfb.jpg,./annot_100_hate/EfBDZe2WsAALsfb.jpg,"#coronavirusUS #COVID #COVIDIOTS Through deaths #lockdownextensions, raised #suicides #domesticviolence, #sexualabuse unemployment etc. #Covid_19 has caused havoc. #Hunger &amp; #riots R awaited. No drug no #vaccine STOP IT. Take advice https://t.co/Q9gFNSRYsp https://t.co/hMwlss70uz","1.The Danger We Face
2. The Disease And Global
THE
KNOWLEDGE
Spread
3. Work From Home
4. Bad Effects of Lockdown
5. Good Effects of Lockdown",danger face disease global tob spread work home ta bad effects lockdown good effects lockdown rf,0
9,politics_08,PedoGateIsReal,1289387271083266050,./tweet_data/politics_08/PedoGateIsReal/tweets1/EeTS4yNX0AAMNlC.jpg,./annot_100_hate/EeTS4yNX0AAMNlC.jpg,"A blind person would say this is edited... yeah surgery says. Nope it’s real. Wake up people #ObamaGateIsReal #Obama #ObamaGateAintGoingAway #Trump2020LandslideVictory 
#PEDOGATEISREAL #Pedowood #PEDOFILI #pedowoodexposed #Pedovore #pedo #PedoPanic #pedofilos #GreatAwakening https://t.co/WBEYKV7wEy","If Obama can wear this for an all night
Illuminati blood sacrifice you can wear a
mask in the grocery store Karen",obama wear night illuminati blood sacrifice wear mask grocery store karen fom py,1
