Unnamed: 0,topic,hashtag,tweet_id,image_path,sample_path,body_text,label,image_text,text_with_OCR
0,asianhate_04,ChinaVirus,1254162507020763137,./tweet_data/asianhate_04/ChinaVirus/tweets4/EWeuJgbXkAAz1OD.jpg,./annot_data_hate/EWeuJgbXkAAz1OD.jpg,"@Reuters How long can we stay at home? This is not permanent solution.
#VirusGuard is the only solution to cope with #COVID19❗

https://t.co/XwEak900vC

#wuhanvirus #chinavirus #coronavirus #chinaoutbreak #wuhanoutbreak #Mers #Covid_19 https://t.co/80KoQdV5Gh",2.0,"sy virus guard sustainable disinfection 10 day disinfection protection wwi ae aera ny pe
",sy virus guard sustainable disinfection 10 day disinfection protection wwi ae aera ny pe
1,vaccine_04,BillGatesBioTerrorist,1248344434120560642,./tweet_data/vaccine_04/BillGatesBioTerrorist/tweets2/EVMCpJxXQAEsSLi.jpg,./annot_data_hate/EVMCpJxXQAEsSLi.jpg,"So. Many. SHEEPLE! WAKE UUUPP!
#BillGatesBioTerrorist 
#BillGatesIsEvil 
#BillGatesPublicEnemy1 
#BillGatesIsNotOurFriend 
#BillGatesVaccine
#BillGatesVirus https://t.co/rFkHJGQvOV",0.0,"ie alright
",ie alright
2,politics_08,TrumpIsALaughingStock,1294450197435645952,./tweet_data/politics_08/TrumpIsALaughingStock/tweets3/EfbPlPOWAAEj3NC.jpg,./annot_data_hate/EfbPlPOWAAEj3NC.jpg,@AintParler @Lorrain86857415 @TheWorldWatch @SpinneyJr @hsbanik @sacmac11 @KraigtheBunny @MercerCreed @_White__Rabbit @TheTruthFairy4 @FiestyKiwi @G2Precision @WarrenJPierce @KumbarRajesh @sk8djglfrfoos @Acknowledgerea3 @JayCory7 @ADevotedYogi @Heather012177 @CrystalLozano4 @LisaSing75 @COCrowe @PhillipDenton @EricO_2020 @Janesmi74403686 @suprdupe @bkmoore777 @Jah18186004 @TideFanJoe @JackieO69045443 @TheTrollHunte14 @SockRocket2019 @stevendem @sham786364 @natehansen42 @mannazesq @Gummbyman32 @forcemultipler @HerpesMichael @nzhippygirl @SGijora @AdHomin1711 @ShaktiForTrump @WhoFeedsYou @JDavidBourne1 @rygh_sherrie @iflysims70 @kruttika108 @LisaSwartz8 @thedjrichyb Thank you for your opinion of the impeachment regardless of your feelings he is still impeached. I'm sending big hugs your way.🤗🤗🤗🤗🤗🤗 #TrumpFailedAmerica #TrumpIsACriminal #TrumpIsALaughingStock #ProsecuteTrump #jailtime #PutinsPuppet #BIGHUGTOYOU https://t.co/Jo7ZZszJDJ,0.0,"oa boohoo sorry aaa wa del ah
",oa boohoo sorry aaa wa del ah
3,politics_08,TrumpIsANationalDisgrace,1292919661206687748,./tweet_data/politics_08/TrumpIsANationalDisgrace/tweets2/EfFfVjwX0AUmmcQ.jpg,./annot_data_hate/EfFfVjwX0AUmmcQ.jpg,"Gallup poll: 4 out of 5 Republicans don't think America is great right now

165,935 Americans have died in vain

and Trump wants to give a Gettysburg speech? 

#BlameTrump 

#TrumpIsANationalDisgrace https://t.co/Qz0vUdFIhJ",2.0,"republican satisfaction state america plummet overall american satisfaction low decade gallup report bea rep getty images
",republican satisfaction state america plummet overall american satisfaction low decade gallup report bea rep getty images
4,politics_04,TrumpLiesPeopleDie,1248647765044776961,./tweet_data/politics_04/TrumpLiesPeopleDie/tweets2/EVQWgf-UcAA1Z3K.jpg,./annot_data_hate/EVQWgf-UcAA1Z3K.jpg,"@catjung @AmoneyResists Keep believing the bull$hit, all the data, #70days inaction and the most cases in the world shows you his response was bullshit. Americans are dying and will die, Trump supporters don’t give a damn. You are truly the mark of a con man. And not a good one. #TrumpLiesPeopleDie https://t.co/hren6p0YPL",1.0,"dont recognize pea ae es ta ws mt aor
",dont recognize pea ae es ta ws mt aor
5,politics_08,TrumpIsACompleteFailure,1291023422449999873,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets1/Eeqi9h9XkAIdTbA.jpg,./annot_data_hate/Eeqi9h9XkAIdTbA.jpg,@CNN @SpiroAgnewGhost Yeah. We knew he'd be terrible and dumb. That's why most Americans did not vote for him. #TrumpIsACompleteFailure https://t.co/kbAoy6eYhm,0.0,"normal na fy
",normal na fy
6,politics_08,TrumpIsACompleteFailure,1295518304426172417,./tweet_data/politics_08/TrumpIsACompleteFailure/tweets3/Efqa4GyWoAAP6R0.jpg,./annot_data_hate/Efqa4GyWoAAP6R0.jpg,@washingtonpost Thank god for @SpeakerPelosi -- somebody has to stop @realDonaldTrump from destroying America from the inside. #VoteBlue2020 #TrumpIsACompleteFailure https://t.co/pq7fn8l2Zd,0.0,"trump burn america ground alae fail
",trump burn america ground alae fail
7,politics_04,LiarInChief,1248075400095215617,./tweet_data/politics_04/LiarInChief/tweets2/EVIN9S5UcAAUagq.jpg,./annot_data_hate/EVIN9S5UcAAUagq.jpg,@GeorgeTakei @roecats_8 Yep the #LiarInChief has got to go! #TrumpOwnsEveryDeath #TrumpVirusCoverup https://t.co/UvfpF6iIOK,0.0,"hi seam ul move fire ol compete co
",hi seam ul move fire ol compete co
8,ageism_12,covidiots,1335669851709460480,./tweet_data/ageism_12/covidiots/tweets1/EfBDZe2WsAALsfb.jpg,./annot_data_hate/EfBDZe2WsAALsfb.jpg,"#coronavirusUS #COVID #COVIDIOTS Through deaths #lockdownextensions, raised #suicides #domesticviolence, #sexualabuse unemployment etc. #Covid_19 has caused havoc. #Hunger &amp; #riots R awaited. No drug no #vaccine STOP IT. Take advice https://t.co/Q9gFNSRYsp https://t.co/hMwlss70uz",2.0,"danger face disease global tob spread work home ta bad effects lockdown good effects lockdown rf
",danger face disease global tob spread work home ta bad effects lockdown good effects lockdown rf
9,politics_08,PedoGateIsReal,1289387271083266050,./tweet_data/politics_08/PedoGateIsReal/tweets1/EeTS4yNX0AAMNlC.jpg,./annot_data_hate/EeTS4yNX0AAMNlC.jpg,"A blind person would say this is edited... yeah surgery says. Nope it’s real. Wake up people #ObamaGateIsReal #Obama #ObamaGateAintGoingAway #Trump2020LandslideVictory 
#PEDOGATEISREAL #Pedowood #PEDOFILI #pedowoodexposed #Pedovore #pedo #PedoPanic #pedofilos #GreatAwakening https://t.co/WBEYKV7wEy",1.0,"obama wear night illuminati blood sacrifice wear mask grocery store karen fom py
",obama wear night illuminati blood sacrifice wear mask grocery store karen fom py
10,ageism_04,covidiots,1245643591029944320,./tweet_data/ageism_04/covidiots/tweets1/EUlqPNoUcAAfEPk.jpg,./annot_data_hate/EUlqPNoUcAAfEPk.jpg,"Naniama! You go talk truth! 😁😁

So now we’ve moved from ‘Misled’ to ‘Misspoke’? What is it about you guys and the prefix ‘mis’?
@moigovgh #CoronavirusOutbreak #Ghana #COVIDIOTS https://t.co/wJ9btDdSGB",2.0,"health minister misspoke treatment vip bog hospital nkrumah oy marian
",health minister misspoke treatment vip bog hospital nkrumah oy marian
11,ageism_08,covidiots,1289633613873479682,./tweet_data/ageism_08/covidiots/tweets1/EeWy7eKXgAIJyKM.jpg,./annot_data_hate/EeWy7eKXgAIJyKM.jpg,"We’ve seen it on video, the senator admitted and even apologized for it. Today, a Nigerian judge has passed a judgement that says otherwise. The truth is, The Nigerian system is rigged to help the poor and uplift the rich at whatever cost. #konji #COVIDIOTS #HeadsUpFACupFinal https://t.co/E4yMEavKYU",2.0,"oy ge wf senator abbo win assault case despite video evidence
",oy ge wf senator abbo win assault case despite video evidence
12,asianhate_04,CCP_is_terrorist,1250733087438147585,./tweet_data/asianhate_04/CCP_is_terrorist/tweets3/EVt_F8jVcAAy9L8.jpg,./annot_data_hate/EVt_F8jVcAAy9L8.jpg,"@khunprinx And we will defend our friend from evil #CCP

#MilkTeaAlliance 
#ChinaLiedPeopleDie 
#CCP_is_terrorist 
#China
#StopMekongDam https://t.co/cxRAsbwljE",1.0,"let talk nye mors ae vy cc ip il ll db pe bia bs ci fealty laos a8
",let talk nye mors ae vy cc ip il ll db pe bia bs ci fealty laos a8
13,politics_12,kag,1335725024926298112,./tweet_data/politics_12/kag/tweets1/Eoly09yVgAM08_k.jpg,./annot_data_hate/Eoly09yVgAM08_k.jpg,@iEuno @trainman_lover I see she wants to have an open and fair conversation about this. #KAG https://t.co/gKHoz9j8dz,2.0,"cave asic aon cea acca rr sper lover ee ea vy block block follow trainman lover view trainman lover tweet
",cave asic aon cea acca rr sper lover ee ea vy block block follow trainman lover view trainman lover tweet
14,politics_12,TrumpIsACompleteFailure,1336716070820990981,./tweet_data/politics_12/TrumpIsACompleteFailure/tweets2/Eoz4KvgW4AMg4ef.jpg,./annot_data_hate/Eoz4KvgW4AMg4ef.jpg,"@realDonaldTrump #TrumpVirusDeathToll287K ,
Over 102,000 hospitalized, and over 2,000 #Americans dying every day. This is #TrumpsAmerica .

At least Germany has a leader who gives a damn about her country's people. We have #DiaperDonald .

#TrumpIsACompleteFailure 
#TrumpIsANationalDisgrace https://t.co/sGplCKkGf9",0.0,"wee nt afraid nt let aoe woe oe oii ere aii iy ie nie siew coen ee sam
",wee nt afraid nt let aoe woe oe oii ere aii iy ie nie siew coen ee sam
15,immigration_08,BuildTheWall,1296529811104358400,./tweet_data/immigration_08/BuildTheWall/tweets3/Ef4y_bfUYAAAoeW.jpg,./annot_data_hate/Ef4y_bfUYAAAoeW.jpg,@realDonaldTrump #DonaldTrump’s son #DonaldTrumpJr testimonial on how much he respected &amp; loved #SteveBannon’s #BuildTheWall #GoFundMe effort. Jr’s girlfriend #KimberlyGuilfoyle had same praise how beautiful the wall was going to be #awkwardmoments #SteveBannonArrested https://t.co/dk5IwFZPkz,0.0,"private enterprise fine well fast cheap guy pretty amazing start grassroots effort wonderful thing important issue donald trump jr
",private enterprise fine well fast cheap guy pretty amazing start grassroots effort wonderful thing important issue donald trump jr
