topic,hashtag,tweet_id,image_path,sample_path,label,body_text,image_text,text_with_OCR
Mask,NoMasks,1290561571312328706,./data_Mask/NoMasks/tweets1/Eej-523WsAAJa6h.jpg,./annotation_data/Mask/Eej-523WsAAJa6h.jpg,2.0,"@RupertaMargate @FrancaisFarage @John35542712 @WestminsterWAG What?
Based on what I've seen, as above ...the conspiracy theorists and #NoMasks brigade are often Brexiters and/or Trump fans 🤪🤪 https://t.co/3S2xvR2lfc"," FALLONTONIGHT 
",Ser ah
Immigration,cdnpoli,1297693936782213123,./data_Immigration/cdnpoli/tweets4/EgJVvpkUMAALB8Z.png,./annotation_data/Immigration/EgJVvpkUMAALB8Z.png,0.0,"You beat me to it, lol .. #cpc #cpcldr #cdnpoli @CPC_HQ @DonMartinCTV https://t.co/9eUCgkDGyL https://t.co/pECUu00tGi"," You couldnt organize a two car funeral procession somee cards user card 

",You organize two car funeral procession iS
Vaccine,CovidHoax,1294984802890911746,./data_Vaccine/CovidHoax/tweets3/Efi1z_iXsAICXnH.jpg,./annotation_data/Vaccine/Efi1z_iXsAICXnH.jpg,0.0,"States are stock piling food in empty arenas, getting ready for #CivilWar the Elite #DivideAndConquer #Riots #RaceWars #NWO is here! #SnakePoem #TrojanHorse #CovidHoax 
🔥NEVER LOCKED UP #HILLARY, AND HE NEVER WILL! 🤬🔥 https://t.co/lmhif2oU76"," Operation Mockingbird Public Perception Management Programming FOx NEWS CNN CIA Project  Fake News 

",Public in Project Fake News
Political,maga,1297377429405614081,./data_Political/maga/tweets4/EgE11wjUcAA4FsE.jpg,./annotation_data/Political/EgE11wjUcAA4FsE.jpg,1.0,.@realDonaldTrump #MAGA She’s known you ALL your life. Speaking candidly. https://t.co/1a1eOSQ7if," reobhan YOU CANT TRUST HIM SECRET AUDIO OF TRUMPS SISTER 
",Em TRUST HIM SECRET AUDIO OF OF ae rig aA Se
Boomer,trumpliesamericansdie,1298382512016818176,./data_Boomer/trumpliesamericansdie/tweets4/EgTIA2cWAAAKPS1.jpg,./annotation_data/Boomer/EgTIA2cWAAAKPS1.jpg,1.0,"On Nov.3 Vote for Joe Biden and all Democrats Senators. Tell Trump we don't want a dictator we live in a democracy.
#TrumpChaos
#TrumpLiesAmericansDie 
#TrumpIsALaughingStock https://t.co/ALX0vvzJYT"," No Trump Youre Fired 
",No Trump re Fired Spec
Mask,masks,1289427764341166080,./data_Mask/masks/tweets1/EeT3toLVAAAv1EA.jpg,./annotation_data/Mask/EeT3toLVAAAv1EA.jpg,2.0,I #feel like #crap but #alive so im #happy for #that. Have to #shop then #get on with more #masks. Cant #wait. https://t.co/54ZhuA1Zis," WERK 

",
Vaccine,CoronavirusVaccine,1295569664861380608,./data_Vaccine/CoronavirusVaccine/tweets3/EfrI7yGUEAAyPGX.jpg,./annotation_data/Vaccine/EfrI7yGUEAAyPGX.jpg,0.0,"are you getting it now?
see how this game is played?
rinse and repeat in every country on earth..
#CoronavirusVaccine https://t.co/jMrsw5iDcQ"," No influenza deaths recorded in Australia so far this winter AUGUST 17 2020 426pm WATCH VIDEO THE NEWSCOMAU  150 Can you catch COVID19 twice 
",No influenza in so far this winter AUGUST WATCH ae aa VIDEO ta ae ae ae We Can you catch twice of
Boomer,karen,1297799651899449346,./data_Boomer/karen/tweets4/EgK15rHWAAAshUU.jpg,./annotation_data/Boomer/EgK15rHWAAAshUU.jpg,2.0,"@thekjohnston Oh look, a bored, white, jobless but probably unemployable attention-seeker #karen https://t.co/9t13yWKnDD"," Groundbreaking 
",He wy
Political,Trump2020,1298444723837964289,./data_Political/Trump2020/tweets4/EgUAmGhWoAU7E2o.jpg,./annotation_data/Political/EgUAmGhWoAU7E2o.jpg,1.0,#Trump2020Landslide  #Trump2020 #Trump the war is coming..  get ready to defend this beautiful land.. https://t.co/varRZ3pY0W," ll  55 950 PM Mon Aug 24 Mike Kaminsky v Katy Krasnow Hickman County Antifa 17h Election Day nears Comrades Prepare to defend your rights ANTIFA COMRADES ON NOV 4 DONT FORGET TO DISGUISE YOURSELVES AS PATRIOTSTRUMP SUPPORTERS WEAR MAGA HATS USA FLAGS 3ER INSIGNIAS A CONVINCING POLICE UNIFORM IS EVEN BETTER THIS WAY POLICE AND PATRIOTS RESPONDING TO US WONT KNOW WHO THEIR ENEMIES ARE AND ONLOOKERS AND THE MEDIA WILL THINK THERE ARE TRUMP SUPPORTERS RIOTING SO ITS HARDER TO TURN POPULAR OPINION AGAINST US Type Message Me We O GIF  
",Ce on County PROSE Tae nese ON DONT FORGET TO DISGUISE YOURSELVES AS Me cee en Ce POLICE UNIFORM IS EVEN BETTER Od
Vaccine,CoronavirusVaccine,1293151031505821696,./data_Vaccine/CoronavirusVaccine/tweets2/EfIx5eFVoAAltxk.jpg,./annotation_data/Vaccine/EfIx5eFVoAAltxk.jpg,0.0,"#RussianVaccine

Russia registered world first #CoronavirusVaccine, President Vladimir Putin says his own  daughter vaccinated with that #RussianVaccine......🙏🏻🙏🏻 https://t.co/TuQIZiQv03"," THE WORLDS FIRST CORONAVIRUS VACCINE REGISTERED IN RUSSIA Vacciar COVID Vaccine COVID19 Vaccim COVID H 3 RUSSIAN PRESIDENT VLADIMIR PUTIN SAYS HIS OWN DAUGHTER HAS BEEN VACCINATED WITH THE VACCIN 
",ann pina ae ey at PRESIDENT WITH THE VACCINE
