topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR,label
vaccine_12,BillGatesBioTerrorist,1344122155844382720,./tweet_data/vaccine_12/BillGatesBioTerrorist/tweets5/EqdH8r9XAAIPD0U.jpg,./annot_3000_hate/EqdH8r9XAAIPD0U.jpg,@LLinWood @collage_64 His an evil psychopath #BillGatesBioTerrorist #TheGreatReset #depopulation #Governmentcorruption #Weforum #WakeupWorld https://t.co/i0OSZtfpSD,GL BAL CITIZEN We also want to thank the scientists and the researches working around the clock. ,pan ace rot bre biro fuera ea oi te teed clock reet,0.0
asianhate_04,CCPVirus,1246839558227914752,./tweet_data/asianhate_04/CCPVirus/tweets1/EU2p99sU4AA58Xa.jpg,./annot_3000_hate/EU2p99sU4AA58Xa.jpg,@PeakVentilators @realDonaldTrump It’s the #CCPVirus they lied and continue to lie. https://t.co/EMxTcexqMv,"HE TOLD US TO PROTECT OUR BORDERS. O HE TOLD US TO BRING MANUFACTURING BACK HOME. O HE WARNED US ABOUT CHINA. O HE TOLD US TO TAKE CARE OF AMERICA FIRST. Trending Politics.com"" ALL OF THIS, WELL BEFORE THIS PANDEMIC I'LL NEVER FORGET HOW DEMOCRATS FOUGHT HIM EVERY STEP OF THE WAY. ",tell protect border tell bring tl pth gl warn bt lure ed eto ti bait ill forget ho,0.0
immigration_2021-02,BorderCrisis,1364945296027975680,./tweet_data/immigration_2021-02/BorderCrisis/tweets4/EvFCYxnXYBAQKac.png,./annot_3000_hate/EvFCYxnXYBAQKac.png,"Borderlands 3: Guns, Love, and Tentacles DLC download
https://t.co/Wd5lgApVwg
#Borderlands #Borderlands3 #borderlinepersonalitydisorder #BORDER_DAY_ONE #Border #borderdayonewentplatinum #BorderCrisis #bordermen #gunsense #gunsdaily #GUNSTA #gunsmilefantalk #gunsmilelovetalk #gear https://t.co/MbhgbztDGf","BORDERLANDS GUNS, OVE ATENTACIES J|THE MARRIAGE OF WAINWRIGHT & HAMMERLOCK || ",whs wainwright hammerlock tt st ss ir pe,0.0
ageism_2021-02,covidiots,1364845161184854019,./tweet_data/ageism_2021-02/covidiots/tweets4/EvDncHCUUAgxmuZ.jpg,./annot_3000_hate/EvDncHCUUAgxmuZ.jpg,"@terryjtucker @Meidas_Kelly I don’t know if you’ve seen this. GOPs from West Virginia, mocking the mask rules. #maskhole #COVIDIOTS #GQP https://t.co/VBjlmb9WKg",David J. Trowbridge @DTrowbridge7 ... Half a million Americans have died of #COVID19 and GOP legislators decided to mock the requirement to wear masks in the state house. I Price ,david trowbridge eo half million americans die gop legislator decide mock requirement wear mask state house a2 ma ww,0.0
ageism_2021-04,covidiots,1383710986385776648,./tweet_data/ageism_2021-04/covidiots/tweets3/EzPtzJXVoAg1zN-.jpg,./annot_3000_hate/EzPtzJXVoAg1zN-.jpg,@narendramodi #hypocrite #ModiMadeDisaster #COVID19India #COVIDIOTS  #COVIDSecondWave #COVIDEmergency Playing with people's lives... #MautKaSaudagar @narendramodi https://t.co/O9781JomoI,"MORNING HE WILL RALLY & BRAG ABOUT HUGE CROWD IN HIS RALLY Morning Feku Express EVENING HE WILL TALK ""SOCIAL DISTANCING"" Evening ",morning rally brag huge crowd rally morning tek evening van talk social distancing ees ae ro ae,0.0
politics_12,CreepyJoe,1338166958890643456,./tweet_data/politics_12/CreepyJoe/tweets2/EpIfwchXYAAQK1E.jpg,./annot_3000_hate/EpIfwchXYAAQK1E.jpg,"Texas refuses to ever turn blue Joe!

#KAG2020 #Conservatives #Republicans #CreepyJoe #MAGA2020 #MAGA #KAG #SleepyJoe #HidinBiden https://t.co/PknIxV4F92","We BIDEN: ""LET'S TURN TEXAS BLUE!"" THE PEOPLE TEXAS: HOLD MY BEER, WE'RE ABOUT TO OVERTURN THE ELECTION ",pn ata eae biden let ns ff tea ie st texas beer,0.0
politics_12,TrumpIsANationalDisgrace,1333964259827412993,./tweet_data/politics_12/TrumpIsANationalDisgrace/tweets1/EoMxbDyVcAEC4nE.jpg,./annot_3000_hate/EoMxbDyVcAEC4nE.jpg,"@realDonaldTrump When you think about it, the mental gymnastics he is having to perform to convince even himself he won are very likely to lead him to completely crack. Not that he isn’t cracked enough already. #TrumpMeltdown #TrumpIsANationalDisgrace https://t.co/noFLaH2YJK",GREAT AGAIN WE'RE FIGHTING TWO CA PANDEMICS AT ONCE: MA CORONAVIRUS STUPIDITY ,fightin c7 a7 que ue ua,1.0
asianhate_12,BoycottChina,1336299293041434624,./tweet_data/asianhate_12/BoycottChina/tweets2/Eot9EasW8AIy4sk.jpg,./annot_3000_hate/Eot9EasW8AIy4sk.jpg,"@StateDept Thank you America! #StandUp4HumanRight

Hong Kong is no longer the autonomous city it used to be.

Under suppression of CCP, laws are distorted, election is postponed, pro-dem lawmakers are disqualified, dissents are criminalised.

Let’s continue to bring them down! #BoycottChina https://t.co/aN16owEgDr",hold China accountable for its behaviour and put a price on its lies and oppression ,44 fe hold china accountable behaviour price lie oppression,1.0
politics_12,TrumpIsALaughingStock,1342282385312899072,./tweet_data/politics_12/TrumpIsALaughingStock/tweets4/EqC-ttaXAAU0zB4.jpg,./annot_3000_hate/EqC-ttaXAAU0zB4.jpg,@realDonaldTrump Go back to golfing while thousands die and other go hungry grifter! #LoserOfTheCentury #LoserOfTheYear #ByeByeTrump #TrumpIsALaughingStock #ByeDon #crybabyTrump #DiaperDon #DonTheCon #SeditiousGOP https://t.co/mIhROLmjjj,"WANTED FOR TREASON 63"" 63 63 63 6' 6' 6' 6' 59 56 5'3 59 5'9""|| 59 56 5'3 5'6""||56 -5'3""|| 5'3 5' -4'9"" 5' DONALD J. TRUMP -4'6"" 4'3 ",want treason 56 56 53 49 poet a6 fy 43,1.0
ageism_2020-02,oldaf,1229952797031813120,./tweet_data/ageism_2020-02/oldaf/tweets3/ERGrjH7UwAAl8e2.jpg,./annot_3000_hate/ERGrjH7UwAAl8e2.jpg,@justmiche74 Does it matter because I was here. 👇🏼#oldaf https://t.co/Ds6pBfm6X7,Jan S TOPLIN &HERBAND SAN DIEGO SPORTS ARENA TULY 11TH 1970 ,gi coosa ae el,0.0
